college_name,location
International Institute of Industrial Safety Management,Bangalore
GNA University,Phagwara
"Department of Physical Education, Chhatrapati Shahu ...",Kanpur
"Rooman Technologies, Bengaluru",Bangalore
Peoples College of forensic Science and Cyber Security,Aurangabad
Dr. Ambedekar College of Education,Bangalore
Dr. B.R. Ambedkar University,Andhra Pradesh
Brilliant Grammar School Educational Society's Group...,Hyderabad
Sri Jayadev College of Pharmaceutical Sciences,Bhubaneswar
Indian Institute of Health and Technology,Saharanpur
"Tecnia Institute of Dance, Music & Fine Art",Delhi
AVC College of Engineering,Tamil Nadu
Navjeevan Law College,Nashik
"Saraswati Distance Education, Andheri East",Mumbai
Academy of Hospital Administration,Noida
"Dream Zone School of Creative Studies, Hazratganj",Lucknow
Biyani School of Nursing and Paramedical Sciences (F...,Jaipur
Eminent College Of Pharmaceutical Technology,Kolkata
"Government Institute of Medical Sciences, Kasna",Greater Noida
"Government Polytechnic College, Ghaziabad",Ghaziabad
Dolphin School of Hotel Management,Kalyani
"Mangalam College of Education,Ettumanoor",Kottayam
Arjun College of Education,Bhagalpur
Oyster Institute of Pharmacy,Aurangabad
"ITM Group of Institutions, Gwalior",Gwalior
PM Group of Institutions,Sonepat
Homoeopathy University,Jaipur
Janki Devi Vocational Centre,Delhi
B Borooah College,Guwahati
St. Peter's Institute of Higher Education and Research,Chennai
Smt. A P Patel Arts and Late Shri N P Patel Commerce...,Ahmedabad
Akkamahadevi Ayurvedic Medical College,Bidar
"District Institute For Education and Training, Sonitpur",Guwahati
IIMT Studies- International Institute of Management ...,Ghaziabad
Sinhgad Institute of Business Administration and Com...,Pune
Manonmaniam Sundaranar University (MSUNIV),Tamil Nadu
Vishveshwarya Group of Institutions (VGI),Greater Noida
Rajarajeshwari College of Nursing,Bangalore
"Maya Academy of Advanced Cinematics, Dehradun",Dehradun
PG Government College for Girls,Chandigarh
CEM - College Of Engineering & Management,West Bengal
Sri Padmavathi Medical College for Women,Tirupati
"College of Agriculture, Indore - Rajmata Vijayaraje ...",Indore
Jain Animation School,Bangalore
"Government B.Ed College,Hazaribagh",Hazaribagh
Trident Academy of Creative Technology,Bhubaneswar
Happy Landings,Delhi
Smt. Kamlaben Gambhirchand Shah Law School,Mumbai
SMC College of Dairy Science,Anand
"University Institute of Technology, Shahdol (Constit...",Shahdol
Maharani Laxmi Bai Medical College,Jhansi
Dr. Babasaheb Ambedkar Memorial College of Law,Dhule
"Institute of Environmental Studies, Kurukshetra Univ...",Kurukshetra
Inmantec Institutions,Ghaziabad
ICICIdirect Centre For Financial Learning - ICFL Ban...,Bangalore
Manipal Centre for Humanities,Manipal
A-One Pharmacy College,Ahmedabad
Guwahati College of Design,Guwahati
"College of Agriculture Business, Baramati",Baramati
Bankura University,West Bengal
The Institute of Mathematical Sciences,Chennai
"Bharat Institute of Aeronautics, IIA Group",Patna
Father Mullers Medical College,Mangalore
Sree Narayan Guru College of Education,Mumbai
DNR College of Engineering and Technology,Bhimavaram
M.E.S Ponnani College,Malappuram
St. Stepbens College of Nursing,Delhi
SMJV's C K Shah Vijapurwala Institute of Management,Vadodara
"Institute of Pharmacy, Jalpaiguri",Jalpaiguri
Samana College of Design Studies,Vijayawada
"Government Polytechnic College, Gulzarbagh",Patna
ICA Edu Skills Pvt. Ltd.,Pune
National Institute of Pharmaceutical Education and R...,Gandhinagar
"Government College of Education,Panvel",Raigad
Department of Legal Studies and Research - Barkatull...,Bhopal
ALT Training College,Bangalore
G S Medical College and Hospital,Hapur
Dhanvantri Institute of Medical Science,Jaipur
"School of Pharmaceutical Science, MVN University",Faridabad
Delhi Institute of Fire Engineering,Delhi
Vignan's Institute of Management and Technology for ...,Hyderabad
International Facility Management Institute,Bangalore
B.S.A. College of Engineering and Technology,Mathura
Shradchandrajee Pawar College of Food Technology,Ratnagiri
"Times and Trends Academy, Kothrud",Pune
NIIS Institute of Information Sciences and Management,Bhubaneswar
Animaster College,Bangalore
"Mandya Institute of Medical Sciences, Mandya",Mandya
"College of Food Science & Technology, Rudrur - Profe...",Nizamabad
"Delhi Technical Campus, Haryana",Jhajjar
Maharaj Vinayak Global University - MVGU,Jaipur
Stewart Science College,Cuttack
Institute of Road and Transport Technology,Erode
"Sri Sathya Sai Institute of Higher Learning, Kadugodi",Bangalore
IIMT Studies- International Institute of Management ...,Chandigarh
HAL - Pravara Aviation Institute,Nashik
School of Professional Graduation,Jaipur
Mahaveer College of Ayurvedic Science,Chhattisgarh
L J Institute of Computer Applications,Ahmedabad
"Government Polytechnic College, Muzaffarpur",Muzaffarpur
Future Media School,Kolkata
National Academy of Photography (NAP Kolkata),Kolkata
HCG Academics,Bangalore
"Shobhit University, Gangoh",Saharanpur
Academy For Future Teacher And Education (AFTE),Delhi
Atmiya University,Rajkot
Mumbai Institute Of Fashion and Interior Design,Mumbai
Waghire College Arts Science and Commerce,Pune
Karnataka State Law University,Hubli
Punjab National Bank Institute of Information Techno...,Lucknow
Meenakshi Academy of Higher Education and Research,Chennai
Pacific University,Udaipur
"DSC -The Delhi School of Communication, Saket",Delhi
Trinity B.Ed College,Siliguri
"JD Institute of Fashion Technology, Patna",Patna
National Institute for Locomotor Disabilities (Divya...,Kolkata
Rajarambapu College of Pharmacy,Sangli
"Vidya Bharati Mahavidyalaya, Amravati",Amravati
Anipix Animation Academy,Chennai
"Mahatma Gandhi University, Chennai",Chennai
Dyal Singh (P.G.) College (DSC Karnal),Karnal
S.V. Arts College,Tirupati
Dr Shahidullah Institute Of Eucation,District 24 Parganas
"Arena Animation, Noida",Noida
Dr. Anita Baruah Sarma College,Guwahati
NEF Law College,Guwahati
VAST - Vidya Academy Of Science And Technology,Thrissur
"Government Dental College, RIMS, Kadapa",Kadapa
Sasi Creative Colleges,Coimbatore
Xavier Institute of Development Action and Studies,Jabalpur
NSS Law College,Kottayam
"Department of Ancient Indian History and Culture, Un...",Kolkata
Vidya Tilak College,Pune
Shri Chhatrapati Shivaji Maharaj College of Engineering,Ahmednagar
"Dogra Law College (DLC, Jammu)",Jammu
"School of Art and Design, ITM University - Gwalior",Gwalior
"College of Agriculture, Karad - Mahatma Phule Krishi...",Maharashtra
National Brain Research Centre,Gurgaon
Dr. Ghanshyam Singh Post Graduate College,Varanasi
"JD Institute of Fashion Technology, Rajouri Garden",Delhi
National Institute of Construction Management and Re...,Bahadurgarh
Acharya Prafulla Chandra Roy Government College,Siliguri
"Government Ayurvedic College and Hospital, Guwahati",Guwahati
"Krupanidhi Degree College, Krupanidhi Group of Insti...",Bangalore
Subhash Chandra Bose Institute of Higher Education,Lucknow
"Institute of Fisheries Postgraduate Studies, TNJFU-O...",Chennai
Major S.D. Singh Ayurvedic Medical College and Hospital,Uttar Pradesh
"Adarsha Law College (ALC, Warangal)",Warangal
Banarsidas Chandiwala Institute of Physiotherapy,Delhi
Bharati Vidyapeeth’s College of Architecture -Navi M...,Mumbai
"Innobuzz Knowledge Solutions, Andheri West",Mumbai
"ITM Executive Education Centre, Mumbai",Thane
"Maya Academy of Advanced Cinematics, South Ex 1",Delhi
"School of Pharmaceutical Sciences, VELS Institute of...",Chennai
Dr. Vedprakash Patil Ayurved Hospital and Research I...,Maharashtra
Panimalar Institute of Technology,Chennai
Rashtrakavi Ramdhari Singh Dinkar College of Enginee...,Begusarai
"Government Medical College, Chandrapur",Chandrapur
"BSE Institute Limited, Delhi",Delhi
K.B. College,Khordha
Kamineni College of Nursing,Hyderabad
Lal Bahadur Shastri Institute of Technology and Mana...,Indore
Centre for Development of Imaging Technology,Thiruvananthapuram
Gokaraju Rangaraju College of Pharmacy,Ranga Reddy
"Government Ayurvedic College and Hospital, Patiala",Patiala
High Flyers Aviation Services,Delhi
CSMSS Ayurved Mahavidayalya and Ruganalaya,Aurangabad
"College of Agriculture, Junagadh Agricultural Univer...",Junagadh
TKM Institute of Technology,Kollam
"Women's College, Calcutta",Kolkata
"Poona College of Arts, Science and Commerce",Pune
Piloo Mody College of Architecture,Cuttack
Suresh Gyan Vihar University,Jaipur
Nalanda College of Agriculture,Tiruchirappalli
"S. B. Patil College of Architecture and Design, Pimp...",Pune
"Department of Music, Chhatrapati Shahu Ji Maharaj Un...",Kanpur
Rathinam College of Arts and Science - RCAS Coimbatore,Coimbatore
Arihant Institute of Management and Technology,Indore
NMKRV College For Women,Bangalore
Instituto Design Innovation,Hyderabad
Central University of Kerala - Vidyanagar Campus,Kasargode
Suman Ramesh Tulsiani Technical Campus- Faculty of ...,Pune
Elphinstone College,Maharashtra
All Saint's Christian Law College,Visakhapatnam
Rathinam Technical Campus,Coimbatore
Amandeep College of Nursing,Amritsar
Dr Ambedkar Government Arts College,Chennai
Fakir Mohan Autonomous College,Balasore
"Apollo School of Nursing, Hyderabad",Hyderabad
F-TEC Skill Development,Thane
"Government Dental College and Hospital, Vijayawada",Vijayawada
B.N Bahadur Institute of Management Sciences,Mysore
Baroda Institute of Management Study,Vadodara
Apeejay Institute of Hospitality,Navi Mumbai
"University Maharani College, University of Rajasthan",Jaipur
The School of Investment Banking,Mumbai
"Sardar Patel University of Police, Security and Crim...",Jodhpur
Samrat Prithviraj Chauhan Government College,Ajmer
North Calcutta Polytechnic College,Kolkata
"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Srikakulam
Citi Square Institute of Interior and Fashion Design,Hyderabad
Tirunelveli Medical College,Tirunelveli
Mansinhbhai Institute of Dairy and Food Technology,Mehsana
Vidhyadeep Homoeopathic Medical College and Research...,Surat
Abhinav Bindra Sports Medicine and Research Institute,Bhubaneswar
St.Mary's Technical Campus,Kolkata
Delhi Metropolitan Education,Noida
Sunderdeep College of Management Technology,Ghaziabad
"S.C.B. Dental College And Hospital, Cuttack",Cuttack
"Government Medical College, Bettiah",Bettiah
"Command Hospital, Lucknow",Lucknow
Alfaa Catering College,Madurai
Central India College of Law and LL.M. (CICL Nagpur),Nagpur
"Krishna Ayurvedic Medical College and Hospital, Sank...",Karnataka
Ramakrishna Mission Shilpapitha College,Kolkata
Sai Ram Institute of Management Studies,Chennai
ADBU - Assam Don Bosco University,Guwahati
Pioneer Institute of Professional Studies,Indore
Gems Polytechnic College,Bihar
Karpaga Vinayaga College of Engineering and Technology,Kanchipuram
Jaganath Institute of Management Sciences,Delhi
Udupi Institute of Hotel and Tourism,Udupi
"IES College of Architecture, Mumbai",Mumbai
SDM College of Medical Sciences and Hospital,Dharwad
"LTA School of Beauty, Delhi",Delhi
HB B.Ed College,Mumbai
R.C.S.M. Government Medical College And CPR Hospital...,Kolhapur
Dehradun College of Art,Dehradun
Dr. J.J. Magdum Homoeopathic Medical College,Kolhapur
PML SD Business School,Chandigarh
SJM Institute of Technology (SJMIT),Chitradurga
"College of Sericulture, Chintamani",Chikballpura
Murugappa Polytechnic College,Chennai
Sri Krishnadevaraya University,Anantapur
Tatyasaheb Kore Dental College and Research Centre,Kolhapur
"Jain College of Bba ,Bca, and B.Com",Belgaum
Abeda Inamdar Senior College For Girls,Pune
"BSE Institute Limited, Chennai",Chennai
SMBT Ayurved College,Nashik
Sinhgad Nursing College,Pune
"JD Institute of Fashion Technology, Lucknow",Lucknow
ISF College of Pharmacy,Moga
Shivajirao S Jondhle Institute of Law and Research,Maharashtra
Vidyalankar Institute of International Education (VI...,Mumbai
K.K. College of Pharmacy,Chennai
Accord Business School,Tirupati
The National Degree College,Bangalore
"Saveetha College of Liberal Arts and Science, Thandalam",Chennai
"VLCC Institute of Beauty and Nutrition, Amritsar",Amritsar
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,Nagaon
Sree Sankaracharya University of Sanskrit,Ernakulum
Finovative Solutions,Mumbai
"Nirmala College, Muvattupuzha",Ernakulum
"UEI Global, Thiruvananthapuram",Thiruvananthapuram
HKBK College of Management,Bangalore
Asian School of Cyber Laws,Pune
C C Sheth College of Commerce,Ahmedabad
D.A.V. P.G. College,Lucknow
Prakash Institute of Medical Sciences and Research,Sangli
"Government College, Bhawanipatna",kalahandi
DAV Institute of Management,Faridabad
Delhi Institute of Computer Courses (DICC Delhi),Delhi
Sawansukha Institute of Gemology and Jewellery Design,Kolkata
"RUHS College of Dental Science, Jaipur",Jaipur
Maharshi Dayanand College of Arts Science and Commerce,Mumbai
"Chitkara School of Mass Communication, Chandigarh",Chandigarh
"National Institute of Design, Andhra Pradesh",Vijayawada
Viswabrahmana College,Pathanamthitta
Kalapurnam Institute,Ahmedabad
"Faculty of Commerce, Dayalbagh Educational Institute",Agra
MKBU - Maharaja Krishnakumarsinhji Bhavnagar University,Bhavnagar
Maharashtra Institute of Medical Sciences and Research,Latur
Aditya Group of Institutions,Bangalore
K11 Academy of Fitness Sciences,Pune
Tagore Engineering College,Chennai
Buddha College of Pharmacy (BIT Gorakhpur),Gorakhpur
"National Institute of Management Studies, Bangalore",Bangalore
KG College of Arts and Science (KGCAS),Coimbatore
Institute of Business Management and Research – Inte...,Bangalore
Indian Institute of Public Health - Shillong,Shillong
St. Ann'S College of Education,Mangalore
DRIEMS Group of Institutions,Cuttack
Motilal Nehru Law College,Ahmedabad
MAAC Nagpur,Nagpur
"Arena Animation, Chembur",Mumbai
The One School Goa,Goa
"School of Economics and Commerce, BML Munjal University",Gurgaon
"Arena Animation, Garia",Kolkata
RUHS - Rajasthan University of Health Sciences,Jaipur
Dr. Sivanthi Aditanar College of Engineering,Tamil Nadu
Larn Edutech,Kolkata
"WLC College India, Pune",Pune
"National Institute of Management and Technology, Jaipur",Jaipur
Gossner College,Ranchi
IIMT Studies- International Institute of Management ...,Vadodara
Shibli National College,Azamgarh
Swayam Siddhi College of Management and Research (SS...,Thane
"TMI Academy of Travel Tourism and Aviation Studies, ...",Chandigarh
Lucky Institute of Professional Studies,Jodhpur
Sindhudurg Shikshan Prasarak Mandal's College of Eng...,Maharashtra
Apollo Institute of Nursing,Gandhinagar
"Govt. P.G. College, Una",Una
NEC Japanese Language Academy,Delhi
"Goa Dental College And Hospital, Goa",Goa
Shaswat Institute of Teachers Education,Ranchi
Priyadarshini J. L. College of Pharmacy (Degree),Nagpur
Guntur Engineering College,Guntur
"School of Computer Applications, ITM University - Gw...",Gwalior
Angadi Institute of Technology and Management,Belgaum
AL-Ameen College of Education - Karnataka,Bangalore
International Airlines Academy,Chennai
Bright International Educational Trust,Bangalore
Sitabai Thite College of Pharmacy,Pune
Gangadhar Meher University,Sambalpur
Royal College of Education and Research For Women,Thane
St. Britto'S College,Chennai
Pratibha Institute of Business Management (Kamala Ed...,Pune
Sardar Patel Post Graduate Institute of Dental and M...,Lucknow
Vivekanana College of Law,Aligarh
"Mahila College, Chaibasa - Kolhan University",Jharkhand
IIMT Studies- International Institute of Management ...,Faridabad
Aditya Prakash Jalan Teachers Training College,Ranchi
"Pristine InfoSolutions, Andheri East",Mumbai
"GD Rungta College of Science and Technology, Bhilai",Bhilai
Sha-Shib Group of Institutions,Pune
F.H. Medical College and Hospital,Agra
B.K.L. Walawalkar Rural Medical College,Ratnagiri
Seva Mandal Education Societys College of Nursing,Mumbai
DMI - Development Management Institute,Patna
Inventateq,Bangalore
Anand Homeopathic Medical College and Research insti...,Anand
"Asian College of Teachers, Bangalore",Bangalore
Raval Institute of Hotel Management,Mumbai
IEC University,Solan
Doon Group of Institutions,Dehradun
MCM DAV College,Kangra
"Government Polytechnic College, Dhanbad",Dhanbad
"School of Architecture and Planning, Sharda University",Greater Noida
STI - Srimati Techno Institute,Kolkata
Ramachandra College of Engineering,West Godavari
ISM- University of Skills,Bangalore
Arizona Infotech,Pune
Orissa Computer Application Centre,Bhubaneswar
"City Law College, City Group of Colleges",Lucknow
Kamineni Institute of Medical Sciences,Nalgonda
Skills Factory Learning Pvt. Ltd.,Pune
Arya Institute of Engineering and Technology,Jaipur
Ramakrishna Mission Siksha Mandir,Howrah
"JD Institute of Fashion Technology, Noida",Noida
"MIT School of Distance Education, Kolkata",Kolkata
"G H Raisoni University, Saikheda",Madhya Pradesh
Jehangir Centre for Learning,Pune
Gondwana University,Maharashtra
Madhya Pradesh Medical Science University,Jabalpur
Vivekananda Institute of Technology,Jaipur
"Sunbeam Institute of Information Technology, Karad",Satara
"CLINI India, Somajiguda",Hyderabad
Pt. Harishankar Shukla Memorial College,Raipur
Dr Dharmambal Government Polytechnic College,Chennai
Fat mu - Pro Makeup Academy,Mumbai
M.S. Ramaiah College of Hotel Management,Bangalore
Himgiri Zee University,Dehradun
College of Engineering Bhubaneswar (CEB Bhubaneswar),Bhubaneswar
Rishikul Government PG Ayurvedic College and Hospital,Haridwar
KLS Institute of Management Education and Research,Belgaum
"Nri Institute Of Technology, Guntur",Guntur
Regional Group of Institutions,Gurgaon
"Government Ayurvedic Medical College, Bangalore",Karnataka
Malla Reddy Institute of Technology,Secunderabad
Sigma Group of Institutes,Vadodara
"Arena Animation, Bandra",Mumbai
IZee Business School,Bangalore
Shri Gulabrao Deokar College Of Engineering,Jalgaon
"Fisheries College and Research Institute, Thoothukudi",Thoothukudi
DIT University - Admission Office,Delhi
Initiative Institute of Professional Training and Re...,Mumbai
Iswar Saran Degree College,Prayagraj
Pioneer Nursing College,Vadodara
"School of Education, Sharda University",Greater Noida
Institute of Knowledge College of Engineering,Pune
The Delhi Institute of Computer Technology,Delhi
R.P. Sharma Institute of Technology,Patna
DRK College of Engineering and Technology,Hyderabad
Vibes Institute,Delhi
De Paul Institute of Science and Technology (DiST),Kochi
R.L.S.Y. College,Bettiah
"M.E.S Arts and Science College, Perinthalmanna",Malappuram
Acropolis Institute of Management Studies and Research,Indore
Audisankara Institute of Technology,Nellore
Parmanand College of Fire Engineering & Safety Manag...,Pune
Jayaraj Annapackiam CSI College of Engineering,Tamil Nadu
Kerala Kalamandalam,Thrissur
Suresh Gyan Vihar University- Distance Education (SG...,Ahmednagar
Riva Institute of Aesthetics,Bangalore
"JD Institute of Fashion Technology, Jammu",Jammu
"Dr. Vibhuti Narayan Singh Campus Gangapur, Mahatma G...",Varanasi
Suresh Gyan Vihar University Distance Education - Ta...,Chennai
"Himalayan Group of Professional Institutions, Sirmour",Sirmour
Toonz Academy,Thiruvananthapuram
Shri K R Pandav Ayurved College and Hospital,Nagpur
Mannam Memorial N.S.S College,Pathanamthitta
Guru Nanak Institute of Engineering and Technology,Nagpur
IIHM - Imperial Institute Of Hotel Management,Chandigarh
Kakinada Institute Of Technology And Science,East Godavari
Vivekananda College of Law,Bangalore
"Institute of Engineering and Science, IPS Academy",Indore
Ideal Institute of Pharmacy,Palghar
"Columbus Travel Academy, Mumbai",Mumbai
Bankatlal Badruka College for Information Technology,Hyderabad
"The Oxford College of Hotel Management, The Oxford E...",Bangalore
"Mother Teresa College of Pharmacy, Ghatkesar",Hyderabad
Hyderabad Institute of Fashion Design,Hyderabad
"Annamacharya Institute of Technology and Sciences, R...",Hyderabad
"I K Gujral Punjab Technical Univerity Campus, Hoshia...",Hoshiarpur
Swami Vivekananda College of Education,Kolkata
Aurora's Legal Sciences Institute,Nalgonda
"Sinhgad Institutes, Pune - Sinhgad Engineering Insti...",Pune
Sri Aurobindo Institute of Pharmacy,Indore
Global Institute of Healthcare Management,Delhi
Shree Saptshrungi Ayurved Mahavidyalay,Nashik
"Sambalpur University(Distance Education), Orissa",Orissa
Trytoon Academy,Bhubaneswar
Naxatra Institute of Media Studies (NIMS BBSR),Bhubaneswar
JIT - Jansons Institute of Technology,Coimbatore
KITM - Kurukshetra Institute of Technology and Manag...,Kurukshetra
Amolakchand College of Law Studies,Yavatmal
Gajanan Maharaj College Of Pharmacy,Aurangabad
Tripolia School of Nursing,Patna
"Government Engineering College, Bhavnagar",Bhavnagar
Brihan Maharashtra College of Commerce,Pune
Shri Madhwa Vadiraja Institute of Technology and Man...,Karnataka
"George College,George Group of Colleges",Kolkata
"College of Fishery Sciences, Nagpur",Nagpur
"Study and Lead Educational and Welfare Society,Kolkata",Kolkata
Nowgong Law College,Nagaon
ISBM Gurgaon - Indus School of Business Management G...,Gurgaon
"Institute of Informatics and Communication, Universi...",Delhi
Vaagdevi Degree and PG College,Warangal
Invertis Institute of Management Studies,Bareilly
Indian School of Business Management & Administrati...,Andhra Pradesh
"Government Polytechnic College, R K Nagar",Chennai
Gangadhar Shastri Gune Ayurved Mahavidyalaya,Ahmednagar
Sharadchandra Pawar College of Pharmacy,Pune
Dr. Ulhas Patil Medical College and General Hospital,Jalgaon
Kashmir Law College,Srinagar
Kalinga Institute of Social Sciences,Bhubaneswar
"Cluster University, Srinagar",Srinagar
Sahrdaya Institute of Management Studies,Thrissur
"Government College of Engineering- Kalahandi, Biju P...",Orissa
Bangalore Institute of International Management (BII...,Bangalore
"KL College of Law, KL University, Guntur",Guntur
Imperial Institute of Advance Studies,Mumbai
"Aptech Aviation and Hospitality Academy, Jayanagar",Bangalore
"School of Aviation Management, NIMS University",Jaipur
"Yashwantrao Mohite Institute of Management, Bharati ...",Malkapur
NIIT Institute,Mumbai
Bora Institute of Management Sciences (BIMS),Lucknow
SEM College of Education,Srinagar
Raigarh College of Pharmacy,Raigarh
Camellia Institute Of Technology,Kolkata
VNS Group of Institutions,Bhopal
"University College of Business Studies, Himachal Pra...",Shimla
Albertian Institute of Management,Kochi
"Inter National Institute of Fashion Design, Bhopal",Bhopal
Nizam Institute of Pharmacy,Hyderabad
Indian Institute Of Fashion Technology (IIFT),Bareilly
Prathima Institute of Medical Sciences,Karimnagar
Future Institute of Engineering and Technology,Bareilly
Anurag College of Engineering,Ranga Reddy
"D.S. Institute of Paramedical Science and Hospital, ...",Ghaziabad
"GEMS B School, Mysore",Mysore
Birla Institute of Technology,Kolkata
"Government Arts and Science College, Morvahadaf",Panchmahal
Virohan Institute of Health and Management Sciences,Faridabad
Pailan College of Management and Technology - PCMT,Kolkata
Vivekanand Education Society's College of Architecture,Mumbai
Malla Reddy Dental College for Women,Hyderabad
"Sir Siddappa Kambali Law College,Karnatak University...",Dharwad
Barrackpore Rastraguru Surendranath College,Kolkata
Indian Institute of Finance,Greater Noida
Zydus Medical College and Hospital,Dahod
SST's Ayurved Medical College,Ahmednagar
"Government Polytechnic College, Gorakhpur",Gorakhpur
Gurudas College,Kolkata
"Sanskar College of Engineering and Technology, Sansk...",Ghaziabad
Believers Church Medical College Hospital,Kerala
"Government College for Girls, Ludhiana",Ludhiana
"College of Agriculture, Bhanashiware",Ahmednagar
BSE Institute Limited Kolkata,Kolkata
Sir Pratap Mahavidyalaya,Jodhpur
Gyan Ganga Institute of Technology and Science,Jabalpur
Rajmata Vijayraje Scindia Nursing School,Delhi
"Institute of Agribusiness Management, Tirupati",Tirupati
Gujarat Adani Institute of Medical Sciences,Bhuj
Smt. M.M.K College of Commerce and Economics,Mumbai
Vedant B.C.A and B.Com College,Bijapur
JIMS - Jagan Institute of Management Studies,Jaipur
Global Institute of Integral Management Studies,Kochi
"Department of Computer Science, Sant Gadge Baba Amra...",Amravati
Jahangirabad Institute of Technology,Barabanki
"Dr. Babasaheb Ambedkar College of Law, Bhandara",Maharashtra
Bangalore Baptist College of Nursing,Bangalore
Ganga College of Nursing,Coimbatore
"School of Design, Sushant University",Gurgaon
Swami Keshwanand Rajasthan Agricultural University (...,Rajasthan
"Yerala School of Nursing, Mumbai",Mumbai
FBS - Fisat Business School,Kochi
"Silicon Institute of Technology, Sambalpur",Sambalpur
"International School of Design, Dehradun",Dehradun
Osmania College,Kurnool
A.P. College,Mayurbhanj
"Swami Vivekanand College of Engineering,Indore",Indore
Dhempe College of Arts and Science,Panaji
V. M. V college,Nagpur
MS Degree College For Women,Hyderabad
"Government Polytechnic College, Hyderabad",Hyderabad
"School of Fine Arts, NIMS University",Jaipur
Park Maritime Academy - PMA,Coimbatore
SJB School of Architecture and Planning,Bangalore
"MGVM’s Karmaveer Bhausaheb Hiray, Dental College and...",Nashik
"School of Commerce & Business, NIMS University",Jaipur
Suresh Gyan Vihar University Distance Education - Ta...,Jaipur
Bhagwan Mahaveer College of Engineering and Management,Sonepat
Rajmata Jijau Shikshan Prasarak Mandal's College of ...,Pune
S.N.S. College,Gaya
Sinhgad Institutes - Sinhgad Management Institutes,Mumbai
Laureate Institute of Pharmacy,Kangra
Ranchi Women's College,Ranchi
Smt. Subhadramma B.Reshmi M.Sc,Karnataka
Swasthya Kalyan Group of Institutions,Jaipur
Magnus Global Tech Education,Bangalore
IIMT Studies- International Institute of Management ...,Jaipur
RNS School of Architecture,Bangalore
"S.D.M.Ayurveda College, Udupi",Udupi
LBS College of Engineering,Kasargode
Kuchaman Pharmacy College,Kuchhaman
Radharaman Institute of Technology and Science,Bhopal
Krishna Bora B.Ed. College,Nagaon
"Government Engineering College, Patan",Gujarat
"National Institute of Design, Haryana",Kurukshetra
P. G. Institute of Medical Sciences,Midnapore
"Late. Fakirabai Pansare Education Foundation, Pradhi...",Pune
Himalayan Pharmacy Institute,Rangpo
Emertxe Information Technologies,Bangalore
Akshar Mahila B.Ed College,Vadodara
"Institute of Journalism and Mass Communication, Chha...",Kanpur
INIFD Borivali,Mumbai
St. Ann's College of Engineering and Technology,Prakasam
"Sacred Heart College, Tirupattur",Vellore
C.L. Baid Metha College of Pharmacy,Chennai
Suresh Gyan Vihar University Distance Education - Ta...,Thane
"College of Pharmcy, Jaya College of Paramedical Scie...",Chennai
N.S. Agricultural College,Prakasam
Chaitanya University,Warangal
Vishisht School of Management,Indore
Vishnu Dental College Andhra pradesh,Bhimavaram
"Baba Farid College of Management and Technology, Bab...",Bathinda
"NICMAR - School of Distance Education, Bangalore (NI...",Bangalore
Maharaja Ranjit Singh College of Professional Sciences,Indore
Akemi Business School,Pune
College of Defence Management,Secunderabad
Jagadguru Ramanandacharya Rajasthan Sanskrit University,Jaipur
"Xavier School of Communications, Xavier University B...",Bhubaneswar
C U Shah Commerce College,Ahmedabad
Florence School and College of Nursing,Faridabad
Dr. B.D. Jatti College of Education,Karnataka
Children Welfare Centre Law College,Mumbai
Chamarejendra Government College of Visual Arts,Mysore
Pragjyotish B.Ed College,Assam
"Vivekanand College, Kolhapur",Kolhapur
"Government Polytechnic College, Adityapur",Jamshedpur
Ananta Institute of Hotel Management and Allied Studies,Jaipur
"MGM College of Journalism and Mass Communication, MG...",Aurangabad
Brahmo Primary Teachers Training Institute,Kolkata
ATM Global Business School (ATM-GBS),Delhi
Shivajirao Kadam Institute of Technology & Management,Indore
Padre Conceicao College of Engineering,Goa
Shree H. N. Shukla Homoeopathic Medical College & Ho...,Rajkot
"Institute of Finance, Banking and Insurance",Delhi
KLR's Lenora Institute Of Dental Sciences,Rajahmundry
"Symbiosis Centre for Distance Learning, Jaipur",Jaipur
Ironwood Sports Management Global Academy,Mumbai
Durgapur Society of Management Science College,Durgapur
CIMA - Chartered Institute Of Management Accountants,Mumbai
St. Pauls College of Pharmacy,Hyderabad
Talentedge,Gurgaon
Shri Khushal Das University,Hanumangarh
Green Hills Engineering College,Solan
Arihant Education Group,Indore
OM V.V.I.M. College,Morbi
"GEMS B School, Tirupati",Tirupati
Salokaya College of Nursing,Delhi
"School of Computing Science, VELS Institute of Scien...",Chennai
Aryans Group of Colleges,Patiala
"AAT College, Bangalore",Bangalore
"St. Anthony's College, Shillong",Shillong
All India Institute of Optometrical Sciences,Kolkata
Government College of Architecture & Sculpture,Tamil Nadu
"School of Law, Mody University of Science and Techno...",Sikar
College of Horticulture-Sri Konda Laxman Telangana S...,Telangana
Quantum School of Media Studies and Design,Roorkee
Global Institute of Management Sciences,Bangalore
Rajeev Gandhi Memorial Teacher's Training College,Dhanbad
"International Institute of Fashion Design, Nashik",Nashik
Presidency College of Hotel Management,Bangalore
Panna Dai School of Nursing,Delhi
"Government College of Teachers Education,Tezpur",Tezpur
Raghavendra Institute of Pharmaceutical Education an...,Anantapur
Mehr Chand Polytechnic College,Jalandhar
IIMT Studies- International Institute of Management ...,Greater Noida
